entry_date,exit_date,stock1,stock2,position,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,hedge_ratio,position_size,gross_pnl,transaction_costs,net_pnl,return_pct,days_held,capital_after
2023-12-04,2023-12-21,HDFCBANK.NS,AXISBANK.NS,long,783.2720336914062,1123.771484375,820.892822265625,1093.6207275390625,-2.2594824592755853,0.40593622845059246,0.9614944227489685,100,6661.0573113633,373.6175100759401,6287.43980128736,3.373502573349649,17,1004373.9252767215
2024-01-19,2024-03-13,HDFCBANK.NS,AXISBANK.NS,long,715.744384765625,1114.736328125,710.755859375,1078.64501953125,-3.344678498282195,-0.43915718677240567,0.9614944227489685,100,2971.306653197754,353.54241768737256,2617.7642355103812,1.4644366697684608,54,1006991.6895122319
2025-01-24,2025-02-20,HDFCBANK.NS,AXISBANK.NS,short,813.8986206054688,947.6900634765625,832.2998046875,1016.3314208984375,2.1837624954896677,0.2590562308831688,0.9614944227489685,100,4759.709824902008,353.45941286786814,4406.25041203414,2.554203946939469,27,1011397.939924266
2025-04-17,2025-05-06,HDFCBANK.NS,AXISBANK.NS,long,940.6353759765625,1189.783203125,952.9686889648438,1160.4083251953125,-2.909188452384538,-0.36493176301547936,0.9614944227489685,100,4057.709428660755,415.3300111813261,3642.3794174794284,1.7472753402500016,19,1015040.3193417453
2025-07-09,2025-09-01,HDFCBANK.NS,AXISBANK.NS,short,1003.1036987304688,1164.699951171875,950.5999755859375,1061.5,2.566092024513435,0.49673896565652387,0.9614944227489685,100,-4672.245433519244,409.418251129219,-5081.6636846484635,-2.3936733458685704,54,1009958.6556570969
2023-06-30,2023-07-12,HDFCBANK.NS,INDUSINDBK.NS,short,828.047119140625,1359.5565185546875,794.7334594726562,1356.3916015625,3.5310939310573133,0.2941455064373705,-0.06696779912706421,100,3352.56071933554,144.08995104657458,3208.4707682889652,4.353416698815753,12,1003208.470768289
2023-12-18,2024-01-17,HDFCBANK.NS,INDUSINDBK.NS,short,805.8055419921875,1539.261474609375,748.279296875,1625.8502197265625,2.2871810117172666,-0.366093488589011,-0.06696779912706421,100,5172.758742751513,134.21242747061765,5038.546315280895,7.170015673134021,30,1008247.0170835699
2024-06-19,2024-07-19,HDFCBANK.NS,INDUSINDBK.NS,short,817.869873046875,1511.4205322265625,792.9320068359375,1432.449951171875,3.023444837499441,0.4218844805905036,-0.06696779912706421,100,3022.6352219955356,141.36573526944926,2881.2694867260866,4.020450641299432,30,1011128.2865702959
2024-09-23,2024-10-04,HDFCBANK.NS,INDUSINDBK.NS,short,868.1651000976562,1465.0999755859375,817.771240234375,1382.8499755859375,2.904643909464462,0.020086821159585398,-0.06696779912706421,100,5590.196134148228,149.52154000780206,5440.674594140427,7.065347057552751,11,1016568.9611644363
2024-12-05,2024-12-19,HDFCBANK.NS,INDUSINDBK.NS,short,920.4335327148438,998.2000122070312,884.790283203125,964.4000244140625,2.36498057812353,0.27339301696194324,-0.06696779912706421,100,3790.676030473551,167.37928108987586,3623.296749383675,4.244792654609606,14,1020192.25791382
2025-04-16,2025-06-13,HDFCBANK.NS,INDUSINDBK.NS,short,926.476806640625,788.25,946.0127563476562,816.8499755859375,3.017721064170363,0.47852399414228736,-0.06696779912706421,100,-2145.122712710925,176.49995502443863,-2321.622667735364,-2.65726305499261,58,1017870.6352460847
2023-05-02,2023-05-25,HDFCBANK.NS,BANKBARODA.NS,short,811.8502807617188,171.7747344970703,783.3693237304688,166.02149963378906,2.018575103597604,0.4163649490374348,-2.1891027060199786,100,4107.537903882747,85.5748954272965,4021.96300845545,9.228543485995402,23,1004021.9630084555
2023-07-03,2023-08-02,HDFCBANK.NS,BANKBARODA.NS,short,837.0021362304688,187.24012756347656,798.407958984375,183.1492462158203,4.028735455238751,0.33493214684684475,-2.1891027060199786,100,4754.9536674254705,82.45897147935398,4672.494695946117,10.939683041637057,30,1008694.4577044016
2023-12-18,2024-01-17,HDFCBANK.NS,BANKBARODA.NS,short,805.8055419921875,210.9390411376953,748.279296875,212.0675506591797,2.313884233863542,0.07994824730053873,-2.1891027060199786,100,5505.582186993674,62.807996410036,5442.774190583638,15.820255866230394,30,1014137.2318949852
2024-06-13,2024-07-10,HDFCBANK.NS,BANKBARODA.NS,short,779.8340454101562,265.8603210449219,802.2066040039062,248.0030975341797,2.189968834291063,0.3733116003531608,-2.1891027060199786,100,1671.8737715619304,45.71408492778743,1626.159686634143,8.219632224025485,27,1015763.3915816194
